listing_id,listing_title,price,currency,vehicle_model_year,vehicle_condition,vehicle_tax_type,vehicle_brand,vehicle_model,vehicle_mileage_km,vehicle_fuel_type,vehicle_transmission,vehicle_engine_cc,vehicle_color,province,district,seller_type,view_count,posted_at,scraped_at,is_premium,listing_url
13863660,Bmw 4 series,24000.0,USD,2014,used,Tax Paper,BMW,4 Series,,,,,,Phnom Penh,Doun Penh,individual,0,2026-08-08 14:07:45,2026-08-17T08:50:52.085993+00:00,,https://www.khmer24.com/post-adid-13863660
13857025,Toyota Veloz 2026,28400.0,USD,2026,new,Tax Paper,Toyota,Veloz,,,,,,Phnom Penh,Saensokh,store,0,2026-08-06 20:00:39,2026-08-17T08:51:05.509513+00:00,,https://www.khmer24.com/post-adid-13857025
13897041,Nammi 06 Pro,17900.0,USD,2025,new,Tax Paper,,,,,,,,Phnom Penh,Saensokh,store,0,2026-08-17 14:35:36,2026-08-17T08:51:05.457525+00:00,,https://www.khmer24.com/post-adid-13897041
13493999,"S400L 2015 លក់ 41,000 ចចារ",41000.0,USD,2015,used,Plate Number,,,,,,,,Phnom Penh,Chamkar Mon,store,0,2026-05-08 20:00:48,2026-08-17T08:51:00.754488+00:00,,https://www.khmer24.com/post-adid-13493999
13658304,Car for sell,2200.0,USD,1990,used,Plate Number,,,,,,,,Phnom Penh,Chamkar Mon,individual,0,2026-06-17 10:06:31,2026-08-17T08:51:05.468956+00:00,,https://www.khmer24.com/post-adid-13658304
13275048,Audi R8 year 2014 Tax pepper,98000.0,USD,2014,used,Tax Paper,Audi,R8,,,,,,Phnom Penh,Chamkar Mon,store,0,2026-03-11 09:54:57,2026-08-17T08:50:56.847991+00:00,,https://www.khmer24.com/post-adid-13275048
13827768,Owner... sale 19990$ /negotiate 0979678999 /012203402,19990.0,USD,2019,used,Plate Number,,,,,,,,Kandal,Ta Khmau,individual,0,2026-07-30 10:22:55,2026-08-17T08:51:00.728858+00:00,,https://www.khmer24.com/post-adid-13827768
13815479,MG-HS-Trophy*2025 | ម្ចាស់ដើមផ្ទាល់,31500.0,USD,2025,new,Plate Number,MG,-HS-Trophy*2025 | ម្ចាស់ដើមផ្ទាល់,,,,,,Phnom Penh,Saensokh,individual,0,2026-07-27 10:52:37,2026-08-17T08:51:04.485577+00:00,,https://www.khmer24.com/post-adid-13815479
13560905,Deepal S05 Ultra 2026 R20/R18 មានក្នុងស្តុក,24999.0,USD,2026,new,Tax Paper,,,,,,,,Phnom Penh,Tuol Kouk,store,0,2026-05-24 16:55:06,2026-08-17T08:50:52.989060+00:00,,https://www.khmer24.com/post-adid-13560905
13897004,HILANDER 2002 V4 P1,10800.0,USD,2002,used,Plate Number,,,,,,,,Phnom Penh,Por Senchey,individual,0,2026-08-17 14:27:39,2026-08-17T08:51:06.477830+00:00,,https://www.khmer24.com/post-adid-13897004
